2025-04-13 07:47:45,Saenab,Gerakan mencurigakan
2025-04-13 07:48:22,Unknown,Gerakan mencurigakan
2025-04-13 07:58:53,Unknown,Gerakan mencurigakan
2025-04-13 07:58:54,Unknown,Gerakan mencurigakan
2025-04-13 07:58:55,Unknown,Gerakan mencurigakan
2025-04-13 07:58:55,Unknown,Gerakan mencurigakan
2025-04-13 07:58:56,Unknown,Gerakan mencurigakan
2025-04-13 07:58:57,Unknown,Gerakan mencurigakan
2025-04-13 07:58:59,Unknown,Gerakan mencurigakan
2025-04-13 07:58:59,Unknown,Gerakan mencurigakan
2025-04-13 07:59:00,Unknown,Gerakan mencurigakan
2025-04-13 07:59:02,Unknown,Gerakan mencurigakan
2025-04-13 07:59:02,Unknown,Gerakan mencurigakan
2025-04-13 07:59:03,Unknown,Gerakan mencurigakan
2025-04-13 07:59:05,Unknown,Gerakan mencurigakan
2025-04-13 07:59:07,Unknown,Gerakan mencurigakan
2025-04-13 07:59:07,Unknown,Gerakan mencurigakan
2025-04-13 07:59:08,Unknown,Gerakan mencurigakan
2025-04-13 07:59:09,Unknown,Gerakan mencurigakan
2025-04-13 07:59:09,Unknown,Gerakan mencurigakan
2025-04-13 07:59:11,Unknown,Gerakan mencurigakan
2025-04-13 07:59:15,Unknown,Gerakan mencurigakan
2025-04-13 07:59:16,Unknown,Gerakan mencurigakan
2025-04-13 07:59:17,Unknown,Gerakan mencurigakan
2025-04-13 07:59:17,Unknown,Gerakan mencurigakan
2025-04-13 07:59:18,Unknown,Gerakan mencurigakan
2025-04-13 07:59:18,Unknown,Gerakan mencurigakan
2025-04-13 07:59:19,Unknown,Gerakan mencurigakan
2025-04-13 07:59:20,Unknown,Gerakan mencurigakan
2025-04-13 07:59:21,Unknown,Gerakan mencurigakan
2025-04-13 07:59:22,Unknown,Gerakan mencurigakan
2025-04-13 07:59:22,Unknown,Gerakan mencurigakan
2025-04-13 07:59:23,Unknown,Gerakan mencurigakan
2025-04-13 07:59:24,Unknown,Gerakan mencurigakan
2025-04-13 07:59:24,Unknown,Gerakan mencurigakan
2025-04-13 07:59:25,Unknown,Gerakan mencurigakan
2025-04-13 07:59:26,Unknown,Gerakan mencurigakan
2025-04-13 07:59:26,Unknown,Gerakan mencurigakan
2025-04-13 07:59:27,Unknown,Gerakan mencurigakan
2025-04-13 07:59:29,Unknown,Gerakan mencurigakan
2025-04-13 07:59:29,Unknown,Gerakan mencurigakan
2025-04-13 07:59:32,Unknown,Gerakan mencurigakan
2025-04-13 07:59:33,Unknown,Gerakan mencurigakan
2025-04-13 07:59:35,Unknown,Gerakan mencurigakan
2025-04-13 07:59:36,Unknown,Gerakan mencurigakan
2025-04-13 14:52:33,Unknown,Gerakan mencurigakan
2025-04-13 14:52:36,Unknown,Gerakan mencurigakan
